Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.955412	Src2	0	83	LastDelay	0.238745	238745	1	3
0.955412	Src2	0	83	FullDelay	0.238745	238745	1	3
0.964004	Src2	0	84	LastDelay	0.239004	239004	1	3
0.964004	Src2	0	84	FullDelay	0.239004	239004	1	3
0.972638	Src2	0	85	LastDelay	0.239305	239305	1	3
0.972638	Src2	0	85	FullDelay	0.239305	239305	1	3
0.981228	Src2	0	86	LastDelay	0.239561	239561	1	3
0.981228	Src2	0	86	FullDelay	0.239561	239561	1	3
0.98982	Src2	0	87	LastDelay	0.23982	239820	1	3
0.98982	Src2	0	87	FullDelay	0.23982	239820	1	3
0.998412	Src2	0	88	LastDelay	0.240079	240079	1	3
0.998412	Src2	0	88	FullDelay	0.240079	240079	1	3
1.007	Src2	0	89	LastDelay	0.240337	240337	1	3
1.007	Src2	0	89	FullDelay	0.240337	240337	1	3
1.0156	Src2	0	90	LastDelay	0.240596	240596	1	3
1.0156	Src2	0	90	FullDelay	0.240596	240596	1	3
1.02419	Src2	0	91	LastDelay	0.240855	240855	1	3
1.02419	Src2	0	91	FullDelay	0.240855	240855	1	3
1.03278	Src2	0	92	LastDelay	0.241113	241113	1	3
1.03278	Src2	0	92	FullDelay	0.241113	241113	1	3
1.04137	Src2	0	93	LastDelay	0.241372	241372	1	3
1.04137	Src2	0	93	FullDelay	0.241372	241372	1	3
1.05001	Src2	0	94	LastDelay	0.241673	241673	1	3
1.05001	Src2	0	94	FullDelay	0.241673	241673	1	3
1.0586	Src2	0	95	LastDelay	0.241929	241929	1	3
1.0586	Src2	0	95	FullDelay	0.241929	241929	1	3
1.06719	Src2	0	96	LastDelay	0.242188	242188	1	3
1.06719	Src2	0	96	FullDelay	0.242188	242188	1	3
1.08394	Src1	0	93	LastDelay	0.250609	250609	1	3
1.08394	Src1	0	93	FullDelay	0.250609	250609	1	3
1.08437	Src2	0	67	LastDelay	0.217705	217705	1	2
1.08437	Src2	0	67	FullDelay	0.517705	517705	2	2
1.09296	Src2	0	68	LastDelay	0.217964	217964	1	2
1.09296	Src2	0	68	FullDelay	0.517964	517964	2	2
1.10156	Src2	0	70	LastDelay	0.218223	218223	1	2
1.10156	Src2	0	70	FullDelay	0.509889	509889	2	2
1.11831	Src1	0	30	LastDelay	0.226644	226644	1	2
1.11831	Src1	0	30	FullDelay	0.868311	868311	2	2
1.12698	Src1	0	31	LastDelay	0.226983	226983	1	2
1.12698	Src1	0	31	FullDelay	0.868649	868649	2	2
1.12737	Src2	0	71	LastDelay	0.219039	219039	1	2
1.12737	Src2	0	71	FullDelay	0.527372	527372	2	2
1.13596	Src2	0	74	LastDelay	0.219298	219298	1	2
1.13596	Src2	0	74	FullDelay	0.494297	494297	2	2
1.15272	Src1	0	33	LastDelay	0.227719	227719	1	2
1.15272	Src1	0	33	FullDelay	0.877719	877719	2	2
1.16131	Src1	0	34	LastDelay	0.227977	227977	1	2
1.16131	Src1	0	34	FullDelay	0.877977	877977	2	2
1.16998	Src1	0	36	LastDelay	0.228316	228316	1	2
1.16998	Src1	0	36	FullDelay	0.869983	869983	2	2
1.17857	Src1	0	37	LastDelay	0.228575	228575	1	2
1.17857	Src1	0	37	FullDelay	0.870241	870241	2	2
1.17896	Src2	0	75	LastDelay	0.220631	220631	1	2
1.17896	Src2	0	75	FullDelay	0.528964	528964	2	2
1.18756	Src2	0	76	LastDelay	0.22089	220890	1	2
1.18756	Src2	0	76	FullDelay	0.529223	529223	2	2
1.19615	Src2	0	77	LastDelay	0.221148	221148	1	2
